Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper,Which of the following is a characteristic of living things?, Both (a) and (b),Feeling,Breathing,Both (a) and (b),,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper, Which of the following is an example of a human-made non-living thing?, Fan, Rain, Air, Fan,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper, What is the main difference between natural and human-made things?," Natural things are obtained from nature, while human-made things are created by humans", Natural things are made by humans, Human-made things are living," Natural things are obtained from nature, while human-made things are created by humans",,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper, What is the characteristic that distinguishes living things from non-living things?, Reproduction, Breathing, Reproduction, Both (a) and (b),,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper, Which of the following is a natural non-living thing?, Soil, Ball, Soil, Cat,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper," What do all plants, animals, and humans have in common?", They are all living things, They are all human-made things, They are all natural non-living things, They are all living things,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper, What sets living things apart from non-living things in terms of reproduction?, Living things can give birth to offspring, Non-living things have babies, Living things have the ability to grow, Living things can give birth to offspring,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Multiple Choice Question (QPG) Test Paper, Which of the following is a human-made thing?, Laptop, Laptop, Sun, Moon                  ,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),    Living things need food to live,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),    Non-living things have babies,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),    Seeds show features of living things,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),    Human-made things can be both living and non-living,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),"    Soil, rocks, air, and water are examples of natural living things",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),    Natural things are made by humans,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),"    Sun, clouds, and water are examples of human-made things",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,True or False (QPG),    Breathing is a characteristic of both living and non-living things,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Match the following (QPG),"(i)               Non-living         (a) Animals
(ii)             Living         (b) Computer
(iii)          Human-made         (c) Rocks",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Match the following (QPG),"(i)               Non-living         (a) Animals
(ii)             Living         (b) Computer
(iii)          Human-made         (c) Rocks",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Match the following (QPG),"(i)               Natural          (a) Big boy
(ii)             Human-made         (b) Fans
(iii)          Baby boy         (c) Rocks",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Fill in the blank (QPG),    Living things breathe and need ________ to live,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Fill in the blank (QPG),    Non-living things do not have babies and lack __________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Fill in the blank (QPG),"    All plants, animals, and humans are considered __________",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Fill in the blank (QPG),"    Seeds, though lacking typical features, are considered living as they grow into ________",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
CBSE,Class 1,Science,Illustrative Science,Chapter 1 Living and Non-Living Things,,,Fill in the blank (QPG),    Natural things can be either living or ________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science Class 1 Chapter 1 Test paper generator,1
