Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Fill in the blank (QPG),Add the smallest 2-digit number to the greatest 2-digit number. ___________________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Fill in the blank (QPG),"Add orally : (a) 86 + 9 = ______________________
(b) 125 + 9 = ______________________
(c) 162 + 9 = ______________________
(d) 264 + 9 = _______________________
(e) 305 + 9 = _______________________
(f) 436 + 9 = _______________________",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Fill in the blank (QPG),Add the smallest 3-digit number to the greatest 1-digit number. ___________________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Multiple Choice Question (QPG) Test Paper,150 + 250 + 350 is equal to :,N/A,750,800,950,1000,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Multiple Choice Question (QPG) Test Paper,1578 + 2000 is equal to :,N/A,3000,3570,3578,3500,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Multiple Choice Question (QPG) Test Paper,215 + 185 + 300 is equal to :,N/A,600,700,800,900,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Multiple Choice Question (QPG) Test Paper,251 + 47 is equal to :,N/A,290,291,297,298,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 2 Addition,,,Multiple Choice Question (QPG) Test Paper,824 + 300 + 276 is equal to :,N/A,1400,1300,1200,1500,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 5 Division,,,Fill in the blank (QPG),Can we divide a number by 0?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
CBSE,Class 3,Mathematics,Mathematics Success (2023-24),Chapter 5 Division,,,Fill in the blank (QPG),Can we divide 0 by a number?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",MathematicsMathematics Success (2023-24)Class 3,1
