Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,1,Multiple Choice Question (QPG) Test Paper,Which organ system controls all other body systems and sense organs?,Nervous system,Respiratory system,Nervous system,Digestive system,Circulatory system,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,What is the main function of the brain in the nervous system?,Send and receive messages,Control body movements,Regulate body temperature,Send and receive messages,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,What is the role of the spinal cord in the nervous system?,Carry messages between the brain and the body,Control breathing,Carry messages between the brain and the body,Digest food,Filter blood,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,"Which part of the brain is responsible for thinking, learning, and reasoning?",Cerebrum,Cerebellum,Cerebrum,Medulla oblongata,Spinal cord,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,How are reflex actions different from voluntary actions?,Reflex actions are automatic and quick.,Reflex actions are slower,Reflex actions involve the brain,Reflex actions are automatic and quick,Reflex actions require conscious effort.,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,Which nerve carries signals from the brain to the muscles for reflex actions?,Motor nerve,Sensory nerve,Motor nerve,Mixed nerve,Auditory nerve,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,How do blind people read and write using the Braille system?,By feeling raised dots with their fingers,By using their sense of smell,By listening to audio books,By feeling raised dots with their fingers,By using special glasses,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,Which sense organ helps us to maintain balance and hear sounds?,Ears,Nose,Tongue,Ears,Skin,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,How should we take care of our eyes ?,Wash eyes regularly with clean water,Watch television for long hours,Read in a moving vehicle,Wash eyes regularly with clean water,Sit close to the television,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,Multiple Choice Question (QPG) Test Paper,Which part of the nose helps us to detect different smells?,Nerve endings,Nostrils,Nasal hair,Nerve endings,Upper part of the nose,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator Multiple Choice Question (QPG) Test Paper 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,True or False (QPG),"The nervous system consists of the brain, spinal cord, and nerves.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator True or False (QPG) 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 4- Human Nervous System,,,True or False (QPG),The cerebellum is the largest part of the human brain.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 4 Human Nervous System Test Paper Generator True or False (QPG) 2,1
