ID,Type,Variant,Physical price,Discount Physical Price,Ebook Price,Ebook Discount Price
289,book,,545,544,545,409
10,book,,457,456,457,343
12,book,,580,579,580,435
13,book,,470,469,470,353
14,book,,480,479,480,360
15,book,,505,504,505,379
16,book,,515,514,515,386
17,book,,525,524,525,394
18,book,,575,574,575,431
19,book,,585,584,585,439
20,book,,595,594,595,446
36,book,,375,374,375,281
37,book,,410,409,410,308
38,book,,465,464,465,349
39,book,,485,484,485,364
40,book,,495,494,495,371
53,book,,500,499,500,375
56,book,,530,529,530,398
65,book,,155,154,155,116
66,book,,195,194,195,146
67,book,,280,279,280,210
68,book,,299,298,299,224
69,book,,325,324,325,244
70,book,,410,409,410,308
71,book,,410,409,410,308
72,book,,420,419,420,315
85,book,,495,494,495,371
97,book,,320,319,320,240
98,book,,360,359,360,270
99,book,,420,419,420,315
100,book,,440,439,440,330
101,book,,460,459,460,345
194,book,,440,439,440,330
195,book,,250,249,250,188
196,book,,275,274,275,206
197,book,,325,324,325,244
198,book,,340,339,340,255
199,book,,340,339,340,255
200,book,,370,369,370,278
201,book,,375,374,375,281
202,book,,375,374,375,281
203,book,,225,224,225,169
204,book,,225,224,225,169
229,book,,385,384,385,289
230,book,,415,414,415,311
231,book,,425,424,425,319
246,book,,405,404,405,304
247,book,,415,414,415,311
248,book,,520,519,520,390
249,book,,535,534,535,401
250,book,,555,554,555,416
257,book,,415,414,415,311
258,book,,425,424,425,319
259,book,,430,429,430,323
262,book,,435,434,435,326
491,book,,385,384,385,289
492,book,,399,398,399,299
493,book,,430,429,430,323
494,book,,445,444,445,334
495,book,,450,449,450,338
496,book,,415,414,415,311
497,book,,425,424,425,319
498,book,,435,434,435,326
795,book,,280,279,280,210
796,book,,295,294,295,221
797,book,,295,294,295,221
809,book,,545,544,545,409
810,book,,615,614,615,461
881,book,,505,504,505,379
935,book,,395,394,395,296
965,book,,210,209,210,158
966,book,,225,224,225,169
967,book,,305,304,305,229
968,book,,325,324,325,244
969,book,,345,344,345,259
971,book,,415,414,415,311
989,book,,535,534,535,401
990,book,,535,534,535,401
991,book,,555,554,555,416
1046,book,,440,439,440,330
1091,book,,445,444,445,334
410,book,,475,474,475,356
573,book,,140,139,140,105
574,book,,155,154,155,116
576,book,,475,474,475,356
1132,book,,265,264,265,199
1133,book,,295,294,295,221
1134,book,,375,374,375,281
1135,book,,395,394,395,296
1136,book,,415,414,415,311
1137,book,,460,459,460,345
1138,book,,470,469,470,353
1139,book,,480,479,480,360
1128,book,,375,338,375,281
1129,book,,440,396,440,330
1130,book,,440,396,440,330
1131,book,,440,396,440,330
