Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Which of the following animals is a herbivore?,Cow,Lion,Tiger,Cow,Wolf,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 1 ",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,What are animals that eat both plants and flesh called?,Omnivores,Herbivores,Carnivores,Omnivores,Vegetarians,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Which of the following animals is a carnivore?,Crocodile,Elephant,Giraffe,Crocodile,Rabbit,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Animals that eat only plants are called:,Herbivores,Carnivores,Omnivores,Herbivores,Insectivores,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,What do herbivores primarily eat?,Plants,Meat,Plants,Both plants and meat,None of the above,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Which of the following animals is an omnivore?,Bear,Rabbit,Cow,Bear,Lion,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 6",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Animals that eat only meat are called:,Carnivores,Herbivores,Omnivores,Carnivores,Vegetarians,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 7",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,What are animals that eat insects called?,Insectivores,Carnivores,Herbivores,Omnivores,Insectivores,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 8",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Which of the following animals is a herbivore?,Deer,Cheetah,Deer,Lion,Wolf,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 9",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Multiple Choice Question (QPG) Test Paper,Humans are classified as:,Omnivores,Herbivores,Carnivores,Omnivores,Insectivores,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator MCQ 10",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG), Herbivores are animals that eat only plants.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG),Carnivores are animals that eat both plants and flesh of other animals. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG),Omnivores are animals that eat only meat. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG), Tigers and lions have sharp front teeth to tear flesh. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG), Rabbits and squirrels have sharp front teeth for chewing food well. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG),"Cows and horses swallow food without chewing, later bringing it back into their mouth for chewing. ",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 6",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG), Snakes and frogs chew their food before swallowing. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 7",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG), Elephants use their trunk to break branches and leaves from trees. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 8",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG),Mosquitoes and leeches suck the blood of other animals. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 9",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,True or False (QPG)," Butterflies and honeybees have long, thin tubes to suck nectar from flowers.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator True or False 10",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG),What do herbivores eat?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), Name an animal that is a herbivore.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), What do carnivores eat?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), Name an animal that is a carnivore.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), What do omnivores eat?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), Name an animal that is an omnivore.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 6",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG),What do rabbits and squirrels eat?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 7",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), What do tigers and lions eat?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 8",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 6- Food, and Feeding Habits of Animals",,,Very Short Answer Questions (QPG), What do cows and horses do after swallowing food?,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,"Illustrative Environmental Studies Class 3 Chapter 6- Food, and Feeding Habits of Animals Test Paper Generator Very Short Answer Questions 9",1
