ID,Type,Variant,Physical price,Discount Physical Price,Ebook Price,Ebook Discount Price
866,book,,180,162,180,92
867,book,,200,180,200,102
868,book,,200,180,200,102
869,book,,220,198,220,112
870,book,,220,198,220,112
871,book,,230,207,230,117
872,book,,230,207,230,117
873,book,,240,216,240,122
874,book,,385,347,385,196
875,book,,399,359,399,203
876,book,,430,387,430,219
877,book,,445,401,445,227
878,book,,450,405,450,230
879,book,,440,396,440,224
880,book,,450,405,450,230
881,book,,475,428,475,242
882,book,,485,437,485,247
883,book,,495,446,495,252
884,book,,315,284,315,161
885,book,,330,297,330,168
886,book,,330,297,330,168
887,book,,375,338,375,191
888,book,,395,356,395,201
889,book,,465,419,465,237
890,book,,595,536,595,303
891,book,,485,437,485,247
892,book,,465,419,465,237
893,book,,450,405,450,230
894,book,,375,338,375,191
895,book,,395,356,395,201
896,book,,410,369,410,209
897,book,,425,383,425,217
898,book,,445,401,445,227
899,book,,440,396,440,224
900,book,,450,405,450,230
901,book,,340,306,340,173
902,book,,375,338,375,191
903,book,,455,410,455,232
904,book,,415,374,415,212
905,book,,425,383,425,217
906,book,,435,392,435,222
907,book,,425,383,425,217
908,book,,445,401,445,227
909,book,,265,239,265,135
910,book,,415,374,415,212
911,book,,425,383,425,217
912,book,,435,392,435,222
913,book,,395,356,395,201
914,book,,410,369,410,209
915,book,,435,392,435,222
916,book,,620,558,620,316
918,book,,370,333,370,189
919,book,,385,347,385,196
920,book,,415,374,415,212
921,book,,440,396,440,224
922,book,,460,414,460,235
923,book,,535,482,535,273
924,book,,545,491,545,278
925,book,,555,500,555,283
926,book,,240,216,240,122
927,book,,360,324,360,184
928,book,,365,329,365,186
929,book,,365,329,365,186
930,book,,395,356,395,201
931,book,,515,464,515,263
932,book,,535,482,535,273
933,book,,545,491,545,278
934,book,,385,347,385,196
935,book,,395,356,395,201
936,book,,460,414,460,235
937,book,,440,396,440,224
938,book,,455,410,455,232
939,book,,485,437,485,247
940,book,,155,140,155,79
941,book,,195,176,195,99
942,book,,280,252,280,143
943,book,,299,269,299,152
944,book,,325,293,325,166
945,book,,375,338,375,191
946,book,,375,338,375,191
947,book,,385,347,385,196
948,book,,350,315,350,179
949,book,,380,342,380,194
950,book,,390,351,390,199
951,book,,390,351,390,199
952,book,,390,351,390,199
953,book,,395,356,395,201
954,book,,415,374,415,212
955,book,,425,383,425,217
956,book,,435,392,435,222
957,book,,230,207,230,117
958,book,,270,243,270,138
959,book,,310,279,310,158
960,book,,350,315,350,179
961,book,,390,351,390,199
962,book,,415,374,415,212
963,book,,425,383,425,217
964,book,,445,401,445,227
965,book,,175,158,175,89
966,book,,190,171,190,97
967,book,,270,243,270,138
968,book,,290,261,290,148
969,book,,305,275,305,156
970,book,,355,320,355,181
971,book,,325,293,325,166
972,book,,335,302,335,171
973,book,,245,221,245,125
974,book,,265,239,265,135
975,book,,655,590,655,334
976,book,,655,590,655,334
977,book,,495,446,495,252
978,book,,495,446,495,252
979,book,,390,351,390,199
980,book,,390,351,390,199
981,book,,415,374,415,212
982,book,,415,374,415,212
983,book,,595,536,595,303
984,book,,595,536,595,303
985,book,,695,626,695,354
986,book,,695,626,695,354
987,book,,695,626,695,354
988,book,,695,626,695,354
989,book,,540,486,540,275
990,book,,560,504,560,286
991,book,,575,518,575,293
993,book,,380,342,380,194
994,book,,390,351,390,199
995,book,,395,356,395,201
996,book,,145,131,145,74
997,book,,168,151,168,86
998,book,,240,216,240,122
999,book,,250,225,250,128
1000,book,,165,149,165,84
1001,book,,185,167,185,94
1002,book,,535,482,535,273
1003,book,,535,482,535,273
1004,book,,555,500,555,283
1005,book,,560,504,560,286
1006,book,,510,459,510,260
1007,book,,280,252,280,143
1008,book,,270,243,270,138
1009,book,,590,531,590,301
1010,book,,590,531,590,301
1011,book,,470,423,470,240
1012,book,,265,239,265,135
1013,book,,285,257,285,145
1014,book,,345,311,345,176
1015,book,,365,329,365,186
1016,book,,385,347,385,196
1017,book,,405,365,405,207
1018,book,,415,374,415,212
1019,book,,520,468,520,265
1020,book,,535,482,535,273
1021,book,,555,500,555,283
