Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),We wear clothes to cover our body,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 1,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),We wear same clothes on different occasions,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 2,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),Raj wears a raincoat in summer,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 3,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),Sheena wore a bright and colourful dress for the birthday party,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 4,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),Everyone wants to get wet in the rainy season,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 5,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),A postman wears a uniform,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 6,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),The nurses do not wear uniforms,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 7,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),Silk sarees are made from cotton threads,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 8,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),Woollen sweaters are worn in winter,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 9,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,True or False (QPG),How does it feel in summer?,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator True or False 10,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,Very Short Answer Questions (QPG),What should Rani wear on a hot summer day?,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator Very Short Answer Questions 1,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,Very Short Answer Questions (QPG),What does a silk worm give us?,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator Very Short Answer Questions 2,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 6 Clothes,,,Very Short Answer Questions (QPG),Name two winter clothes.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 CHAPTER 6 CLOTHES Test Paper Generator Very Short Answer Questions 3,1
