ID,Type,Variant,Physical price,Discount Physical Price,Ebook Price,Ebook Discount Price
525,book,,575,518,546,431
524,book,,525,473,499,394
446,book,,350,315,333,263
891,book,,500,450,475,375
1032,book,,485,437,461,364
892,book,,470,423,447,353
1031,book,,385,347,366,289
893,book,,455,410,432,341
1030,book,,445,401,423,334
447,book,,380,342,361,285
997,book,,168,151,160,126
998,book,,240,216,228,180
999,book,,250,225,238,188
996,book,,145,131,138,109
387,book,,260,234,247,195
389,book,,270,243,257,203
391,book,,330,297,314,248
390,book,,145,131,138,109
290,book,,495,446,470,371
291,book,,450,405,428,338
285,book,,370,333,352,278
286,book,,425,383,404,319
287,book,,430,387,409,323
288,book,,465,419,442,349
642,book,,420,378,399,315
429,book,,300,270,285,225
426,book,,160,144,152,120
427,book,,280,252,266,210
916,book,,630,567,599,473
913,book,,425,383,404,319
914,book,,440,396,418,330
915,book,,465,419,442,349
1023,book,,550,495,523,413
1054,book,,550,495,523,413
296,book,,640,576,608,480
292,book,,215,194,204,161
293,book,,225,203,214,169
294,book,,234,211,222,176
295,book,,590,531,561,443
1053,book,,650,585,618,488
1056,book,,450,405,428,338
974,book,,265,239,252,199
973,book,,245,221,233,184
1002,book,,535,482,508,401
1003,book,,535,482,508,401
1004,book,,555,500,527,416
1055,book,,450,405,428,338
1000,book,,165,149,157,124
1001,book,,195,176,185,146
232,book,,245,221,233,184
233,book,,270,243,257,203
234,book,,290,261,276,218
235,book,,305,275,290,229
236,book,,315,284,299,236
237,book,,335,302,318,251
238,book,,350,315,333,263
239,book,,360,324,342,270
263,book,,215,194,204,161
264,book,,220,198,209,165
265,book,,220,198,209,165
266,book,,240,216,228,180
267,book,,250,225,238,188
268,book,,270,243,257,203
269,book,,275,248,261,206
270,book,,275,248,261,206
298,book,,360,324,342,270
297,book,,360,324,342,270
558,book,,385,347,366,289
559,book,,430,387,409,323
560,book,,450,405,428,338
561,book,,450,405,428,338
562,book,,450,405,428,338
563,book,,495,446,470,371
564,book,,495,446,470,371
565,book,,495,446,470,371
555,book,,345,311,328,259
556,book,,350,315,333,263
557,book,,360,324,342,270
813,book,,180,162,171,135
814,book,,205,185,195,154
110,book,,315,284,299,236
111,book,,325,293,309,244
