Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),Most roots grow underground and shoots grow above the ground.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 4- Birds Test Paper Generator True or False 1,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),Leaves don’t prepare food for the plant.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 4- Birds Test Paper Generator True or False 2,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),Flowers grow into fruits and fruits contain seeds.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 4- Birds Test Paper Generator True or False 3,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),"Potatoes, onions, and gingers are some leaves, used as vegetables.",NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 4- Birds Test Paper Generator True or False 4,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),Cloves are the dried flower buds.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 4- Birds Test Paper Generator True or False 5,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),"Flowers are gifted on special occasions such as marriages, birthdays, anniversaries, etc.",NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 4- Birds Test Paper Generator True or False 6,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),"Tap roots are branched, small roots growing from the end of the stem.",NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 5- Plants Test Paper Generator True or False 7,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),Leaves of plants exchange gases through stomata.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 5- Plants Test Paper Generator True or False 8,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),The leaf blade connects the leaf to the stem.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 5- Plants Test Paper Generator True or False 9,1
CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,Chapter 5- Plants,,,True or False (QPG),The stem carries water and minerals from the roots to the various other parts of the plant,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 4 Chapter 5- Plants Test Paper Generator True or False 10,1
