ID,Type,Variant,Physical price,Discount Physical Price,Ebook Price,Ebook Discount Price
3,book,,325,293,286,163
5,book,,100,90,88,50
6,book,,345,311,304,173
7,book,,375,338,330,188
8,book,,395,356,348,198
9,book,,400,360,352,200
10,book,,420,378,370,210
11,book,,485,437,427,243
12,book,,500,450,440,250
13,book,,390,351,343,195
14,book,,400,360,352,200
15,book,,450,405,396,225
16,book,,450,405,396,225
17,book,,460,414,405,230
18,book,,485,437,427,243
19,book,,500,450,440,250
20,book,,510,459,449,255
21,book,,325,293,286,163
22,book,,325,293,286,163
23,book,,325,293,286,163
24,book,,345,311,304,173
25,book,,355,320,312,178
26,book,,365,329,321,183
27,book,,345,311,304,173
28,book,,345,311,304,173
29,book,,355,320,312,178
30,book,,360,324,317,180
31,book,,375,338,330,188
32,book,,315,284,277,158
33,book,,385,347,339,193
34,book,,415,374,365,208
35,book,,380,342,334,190
36,book,,310,279,273,155
37,book,,325,293,286,163
38,book,,375,338,330,188
39,book,,380,342,334,190
40,book,,385,347,339,193
41,book,,185,167,163,93
42,book,,215,194,189,108
43,book,,235,212,207,118
44,book,,245,221,216,123
45,book,,245,221,216,123
46,book,,270,243,238,135
47,book,,275,248,242,138
48,book,,285,257,251,143
49,book,,295,266,260,148
50,book,,305,275,268,153
51,book,,325,293,286,163
52,book,,340,306,299,170
53,book,,355,320,312,178
54,book,,370,333,326,185
55,book,,380,342,334,190
56,book,,390,351,343,195
57,book,,150,135,132,75
58,book,,170,153,150,85
59,book,,185,167,163,93
60,book,,190,171,167,95
61,book,,195,176,172,98
62,book,,190,171,167,95
63,book,,190,171,167,95
64,book,,200,180,176,100
65,book,,117,105,103,59
66,book,,142,128,125,71
67,book,,215,194,189,108
68,book,,228,205,201,114
69,book,,240,216,211,120
70,book,,275,248,242,138
71,book,,280,252,246,140
72,book,,290,261,255,145
73,book,,315,284,277,158
74,book,,329,296,290,165
75,book,,345,311,304,173
76,book,,355,320,312,178
77,book,,355,320,312,178
78,book,,355,320,312,178
79,book,,360,324,317,180
80,book,,363,327,319,182
81,book,,310,279,273,155
82,book,,320,288,282,160
83,book,,355,320,312,178
84,book,,380,342,334,190
85,book,,395,356,348,198
86,book,,315,284,277,158
87,book,,320,288,282,160
88,book,,345,311,304,173
89,book,,355,320,312,178
90,book,,365,329,321,183
91,book,,405,365,356,203
92,book,,415,374,365,208
93,book,,425,383,374,213
94,book,,460,414,405,230
95,book,,470,423,414,235
96,book,,479,431,422,240
97,book,,258,232,227,129
98,book,,280,252,246,140
99,book,,330,297,290,165
100,book,,355,320,312,178
101,book,,395,356,348,198
102,book,,135,122,119,68
103,book,,143,129,126,72
104,book,,174,157,153,87
105,book,,180,162,158,90
106,book,,190,171,167,95
107,book,,200,180,176,100
108,book,,200,180,176,100
109,book,,200,180,176,100
110,book,,260,234,229,130
111,book,,270,243,238,135
112,book,,280,252,246,140
113,book,,280,252,246,140
114,book,,285,257,251,143
115,book,,300,270,264,150
116,book,,310,279,273,155
117,book,,320,288,282,160
118,book,,240,216,211,120
119,book,,240,216,211,120
120,book,,240,216,211,120
121,book,,260,234,229,130
122,book,,260,234,229,130
123,book,,275,248,242,138
124,book,,275,248,242,138
125,book,,275,248,242,138
126,book,,200,180,176,100
127,book,,220,198,194,110
128,book,,230,207,202,115
129,book,,250,225,220,125
130,book,,270,243,238,135
131,book,,290,261,255,145
132,book,,290,261,255,145
133,book,,300,270,264,150
134,book,,170,153,150,85
135,book,,185,167,163,93
136,book,,220,198,194,110
137,book,,240,216,211,120
138,book,,240,216,211,120
139,book,,275,248,242,138
140,book,,290,261,255,145
141,book,,305,275,268,153
142,book,,200,180,176,100
143,book,,220,198,194,110
144,book,,260,234,229,130
145,book,,270,243,238,135
146,book,,280,252,246,140
147,book,,295,266,260,148
148,book,,310,279,273,155
149,book,,310,279,273,155
150,book,,70,63,62,35
151,book,,105,95,92,53
152,book,,125,113,110,63
153,book,,130,117,114,65
154,book,,140,126,123,70
155,book,,140,126,123,70
156,book,,150,135,132,75
157,book,,155,140,136,78
158,book,,215,194,189,108
159,book,,235,212,207,118
160,book,,290,261,255,145
162,book,,335,302,295,168
163,book,,370,333,326,185
164,book,,395,356,348,198
165,book,,395,356,348,198
166,book,,75,68,66,38
167,book,,75,68,66,38
168,book,,80,72,70,40
169,book,,85,77,75,43
170,book,,85,77,75,43
171,book,,95,86,84,48
172,book,,95,86,84,48
173,book,,95,86,84,48
174,book,,165,149,145,83
175,book,,190,171,167,95
176,book,,260,234,229,130
177,book,,265,239,233,133
178,book,,285,257,251,143
179,book,,300,270,264,150
180,book,,315,284,277,158
181,book,,315,284,277,158
182,book,,320,288,282,160
183,book,,340,306,299,170
184,book,,360,324,317,180
185,book,,360,324,317,180
186,book,,380,342,334,190
187,book,,315,284,277,158
188,book,,350,315,308,175
189,book,,365,329,321,183
190,book,,370,333,326,185
191,book,,370,333,326,185
192,book,,390,351,343,195
193,book,,390,351,343,195
194,book,,390,351,343,195
195,book,,185,167,163,93
196,book,,205,185,180,103
197,book,,250,225,220,125
198,book,,260,234,229,130
199,book,,270,243,238,135
200,book,,295,266,260,148
201,book,,300,270,264,150
202,book,,300,270,264,150
203,book,,205,185,180,103
204,book,,205,185,180,103
205,book,,220,198,194,110
206,book,,240,216,211,120
207,book,,260,234,229,130
208,book,,275,248,242,138
209,book,,285,257,251,143
210,book,,310,279,273,155
211,book,,320,288,282,160
212,book,,335,302,295,168
213,book,,175,158,154,88
214,book,,190,171,167,95
215,book,,230,207,202,115
216,book,,250,225,220,125
217,book,,265,239,233,133
218,book,,305,275,268,153
219,book,,325,293,286,163
220,book,,335,302,295,168
221,book,,210,189,185,105
222,book,,230,207,202,115
223,book,,290,261,255,145
224,book,,290,261,255,145
225,book,,290,261,255,145
226,book,,335,302,295,168
227,book,,335,302,295,168
228,book,,335,302,295,168
229,book,,265,239,233,133
230,book,,285,257,251,143
231,book,,295,266,260,148
232,book,,200,180,176,100
233,book,,225,203,198,113
234,book,,240,216,211,120
235,book,,250,225,220,125
236,book,,260,234,229,130
237,book,,270,243,238,135
238,book,,285,257,251,143
239,book,,295,266,260,148
240,book,,310,279,273,155
241,book,,315,284,277,158
242,book,,335,302,295,168
243,book,,250,225,220,125
244,book,,275,248,242,138
245,book,,305,275,268,153
246,book,,315,284,277,158
247,book,,325,293,286,163
248,book,,420,378,370,210
249,book,,435,392,383,218
250,book,,455,410,400,228
251,book,,290,261,255,145
252,book,,350,315,308,175
253,book,,350,315,308,175
254,book,,350,315,308,175
255,book,,270,243,238,135
256,book,,280,252,246,140
257,book,,325,293,286,163
258,book,,325,293,286,163
259,book,,325,293,286,163
260,book,,325,293,286,163
261,book,,325,293,286,163
262,book,,325,293,286,163
263,book,,130,117,114,65
264,book,,135,122,119,68
265,book,,135,122,119,68
266,book,,140,126,123,70
267,book,,150,135,132,75
268,book,,180,162,158,90
269,book,,185,167,163,93
270,book,,185,167,163,93
271,book,,90,81,79,45
272,book,,105,95,92,53
273,book,,110,99,97,55
274,book,,125,113,110,63
275,book,,130,117,114,65
276,book,,140,126,123,70
277,book,,145,131,128,73
278,book,,160,144,141,80
279,book,,375,338,330,188
280,book,,425,383,374,213
281,book,,270,243,238,135
282,book,,390,351,343,195
283,book,,350,315,308,175
284,book,,380,342,334,190
285,book,,140,126,123,70
286,book,,150,135,132,75
287,book,,195,176,172,98
288,book,,350,315,308,175
289,book,,405,365,356,203
290,book,,375,338,330,188
291,book,,260,234,229,130
292,book,,180,162,158,90
293,book,,190,171,167,95
294,book,,199,179,175,100
295,book,,490,441,431,245
296,book,,540,486,475,270
297,book,,225,203,198,113
298,book,,225,203,198,113
299,book,,200,180,176,100
300,book,,205,185,180,103
301,book,,210,189,185,105
302,book,,215,194,189,108
303,book,,225,203,198,113
304,book,,230,207,202,115
305,book,,235,212,207,118
306,book,,245,221,216,123
307,book,,175,158,154,88
308,book,,180,162,158,90
309,book,,185,167,163,93
310,book,,195,176,172,98
311,book,,200,180,176,100
312,book,,200,180,176,100
313,book,,200,180,176,100
314,book,,200,180,176,100
315,book,,150,135,132,75
316,book,,165,149,145,83
317,book,,170,153,150,85
318,book,,170,153,150,85
319,book,,170,153,150,85
320,book,,175,158,154,88
321,book,,180,162,158,90
322,book,,185,167,163,93
323,book,,220,198,194,110
324,book,,240,216,211,120
325,book,,249,224,219,125
326,book,,290,261,255,145
327,book,,300,270,264,150
328,book,,300,270,264,150
329,book,,310,279,273,155
330,book,,310,279,273,155
331,book,,330,297,290,165
332,book,,335,302,295,168
333,book,,340,306,299,170
334,book,,190,171,167,95
335,book,,200,180,176,100
336,book,,220,198,194,110
337,book,,225,203,198,113
338,book,,230,207,202,115
339,book,,265,239,233,133
340,book,,270,243,238,135
341,book,,270,243,238,135
342,book,,395,356,348,198
343,book,,425,383,374,213
344,book,,450,405,396,225
345,book,,109,98,96,55
346,book,,109,98,96,55
347,book,,160,144,141,80
348,book,,160,144,141,80
349,book,,160,144,141,80
350,book,,185,167,163,93
351,book,,195,176,172,98
352,book,,190,171,167,95
353,book,,118,106,104,59
354,book,,125,113,110,63
355,book,,125,113,110,63
356,book,,115,104,101,58
357,book,,129,116,114,65
358,book,,115,104,101,58
359,book,,115,104,101,58
360,book,,115,104,101,58
361,book,,115,104,101,58
362,book,,115,104,101,58
363,book,,130,117,114,65
364,book,,170,153,150,85
365,book,,195,176,172,98
366,book,,195,176,172,98
367,book,,129,116,114,65
368,book,,129,116,114,65
369,book,,139,125,122,70
370,book,,120,108,106,60
371,book,,109,98,96,55
372,book,,118,106,104,59
373,book,,125,113,110,63
374,book,,125,113,110,63
375,book,,125,113,110,63
376,book,,130,117,114,65
377,book,,135,122,119,68
378,book,,180,162,158,90
379,book,,190,171,167,95
380,book,,200,180,176,100
381,book,,200,180,176,100
382,book,,200,180,176,100
383,book,,124,112,109,62
384,book,,145,131,128,73
385,book,,160,144,141,80
386,book,,190,171,167,95
387,book,,256,230,225,128
388,book,,185,167,163,93
389,book,,270,243,238,135
390,book,,145,131,128,73
391,book,,325,293,286,163
392,book,,145,131,128,73
393,book,,150,135,132,75
394,book,,160,144,141,80
395,book,,160,144,141,80
396,book,,175,158,154,88
397,book,,215,194,189,108
398,book,,225,203,198,113
399,book,,234,211,206,117
400,book,,184,166,162,92
401,book,,204,184,180,102
402,book,,219,197,193,110
403,book,,230,207,202,115
404,book,,235,212,207,118
405,book,,250,225,220,125
406,book,,255,230,224,128
407,book,,155,140,136,78
408,book,,430,387,378,215
409,book,,330,297,290,165
410,book,,450,405,396,225
411,book,,435,392,383,218
412,book,,450,405,396,225
413,book,,450,405,396,225
414,book,,465,419,409,233
415,book,,95,86,84,48
416,book,,465,419,409,233
417,book,,103,93,91,52
418,book,,111,100,98,56
419,book,,490,441,431,245
420,book,,119,107,105,60
421,book,,490,441,431,245
422,book,,505,455,444,253
423,book,,135,122,119,68
424,book,,505,455,444,253
425,book,,275,248,242,138
426,book,,130,117,114,65
427,book,,240,216,211,120
428,book,,345,311,304,173
429,book,,260,234,229,130
430,book,,350,315,308,175
431,book,,350,315,308,175
432,book,,355,320,312,178
433,book,,365,329,321,183
434,book,,360,324,317,180
435,book,,380,342,334,190
436,book,,385,347,339,193
