Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),1,Chapter 1 Physical Features Of India,1,1
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),2,Chapter 2 The Northern Mountains,1,2
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),3,Chapter 3 The Northern Plains,1,3
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),4,Chapter 4 The Great Indian Desert,1,4
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),5,Chapter 5 The Southern Plateaus,1,5
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),6,Chapter 6 The Coastal Plains And Islands,1,6
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),7,Chapter 7 The Climate Of India,1,7
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),8,Chapter 8 Soil,1,8
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),9,Chapter 9 Forests And Wildlife of India,1,9
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),10,Chapter 10 Our Water Resource,1,10
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),11,Chapter 11 Our Mineral Resources,1,11
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),12,Chapter 12 Agriculture in India,1,12
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),13,Chapter 13 Industrial Development in India,1,13
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),14,Chapter 14 Means Of Transport,1,14
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),15,Chapter 15 Means Of Communication,1,15
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),16,"Chapter 16 Art, Architecture And Culture",1,16
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),17,Chapter 17 They Showed Us The Way,1,17
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),18,Chapter 18 Our Government,1,18
CBSE,Class 4,Social Studies,Social Studies Success (2023-24),19,"Chapter 19 Our Goals, Right And Duties",1,19
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),1,Chapter 1. Globe,1,1
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),2,Chapter 2. Maps : Our Guide,1,2
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),3,Chapter 3. Weather and Climate,1,3
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),4,Chapter 4. Land of Dense Forests,1,4
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),5,Chapter 5. Greenland : The Land of Snow,1,5
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),6,Chapter 6. Saudi Arabia : The Land Of Sand,1,6
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),7,Chapter 7. Prairies : The Grasslands,1,7
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),8,Chapter 8. Means Of Transport,1,8
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),9,Chapter 9. Means of Communication,1,9
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),10,Chapter 10. The World of Growing Knowledge,1,10
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),11,Chapter 11. The Development of Medical Science,1,11
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),12,Chapter 12. The Machine Age,1,12
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),13,Chapter 13. Great Personalities,1,13
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),14,Chapter 14. The Birth of The United Nations,1,14
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),15,Chapter 15. The Working of The United Nations,1,15
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),16,Chapter 16. India and The United Nations,1,16
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),17,Chapter 17. The Revolt of 1857,1,17
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),18,Chapter 18. Beginning of The Freedom Struggle,1,18
CBSE,Class 5,Social Studies,Social Studies Success (2023-24),19,Chapter 19. India Wins Freedom,1,19
