Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,Multiple Choice Question (QPG) Test Paper,We can see a __________being used in a village.,bullock cart,Metro train,bullock cart,ship,helicopter,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator MCQ 1 ,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,Multiple Choice Question (QPG) Test Paper,A  _______has two wheels.,bicycle,bicycle,tractor,train,boat,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator MCQ 2,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,Multiple Choice Question (QPG) Test Paper,A _________sails on seas and oceans.,ship,ship,tractor,aeroplane,rikshaw,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator MCQ 3,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,Multiple Choice Question (QPG) Test Paper,Vehicles that fly in air are called_______________,air transport,land transport,air transport,water transport,airways,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator MCQ 4,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,Multiple Choice Question (QPG) Test Paper,Trains are used to cover long distances on ___________,land,land,air,water,road ,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator MCQ 5,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,Multiple Choice Question (QPG) Test Paper,_________________is the fastest and most expensive means of transport.,Air transport,Land transport,Village transport,Air transport,Water transport,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator MCQ 6,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,True or False (QPG),A sailboat sails due to wind.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator True or False 1,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,True or False (QPG),There are four kinds of transports.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator True or False 2,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,True or False (QPG),Trains can run on roadways.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator True or False 3,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,True or False (QPG),Goods train are different from passenger trains.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator True or False 4,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 15- It's Time to Travel,,,True or False (QPG),Helicopter is an example of air transport.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 15- It's Time to Travel Test Paper Generator True or False 5,1
