Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),1,Chapter 1. Number System,1,1
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),2,Chapter 2. Operations on Whole Numbers,1,2
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),3,Chapter 3. Integers,1,3
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),4,Chapter 4. Fractions,1,4
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),5,Chapter 5. Decimal Fractions,1,5
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),6,Chapter 6. Playing with Numbers,1,6
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),7,Chapter 7. Sets,1,7
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),8,Chapter 8. Ratio and Proportion,1,8
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),9,Chapter 9. Unitary Method,1,9
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),10,Chapter 10. Percentage ,1,10
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),11,"Chapter 11. Speed, Time and Distance",1,11
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),12,Chapter 12. Fundamental Concepts of Algebra,1,12
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),13,Chapter 13. Simple Equations,1,13
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),14,Chapter 14. Fundamental Geometrical Concepts ,1,14
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),15,Chapter 15. Angles ,1,15
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),16,Chapter 16. Triangles,1,16
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),17,Chapter 17. Quadrilaterals ,1,17
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),18,Chapter 18. Circle ,1,18
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),19,Chapter 19. Polygons,1,19
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),20,Chapter 20. Recognition of 3D Shapes (Solids) ,1,20
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),21,Chapter 21. Linear Symmetry ,1,21
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),22,Chapter 22. Geometrical Constructions,1,22
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),23,Chapter 23. Perimeter and Area of Plane Figures ,1,23
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),24,Chapter 24. Data Handling,1,24
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),25,Chapter 25. Graphical Representation of Data ,1,25
ICSE/ISC,Class 6,Mathematics,Foundation Mathematics (2023-24),26,Chapter 26. Mean and Median ,1,26
ICSE/ISC,Class 7,Mathematics,Foundation Mathematics (2023-24),1,Chapter 1. Integers,1,1
ICSE/ISC,Class 7,Mathematics,Foundation Mathematics (2023-24),2,Chapter 2. Fractions,1,2
