Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,What are the main components of the nervous system in the human body?,Brain and spinal cord,Brain and spinal cord,Heart and lungs,Liver and kidneys,Stomach and intestines,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,How does the brain process information from the sense organs?,By sending electrical signals,By sending electrical signals,By producing hormones,By storing memories,By filtering out irrelevant information,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,What is the role of the spinal cord in the nervous system?,It transmits messages between the brain and the rest of the body,It controls voluntary actions,It transmits messages between the brain and the rest of the body,It stores long-term memories,It regulates body temperature,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,What is the main function of the cerebrum in the brain?,Controlling voluntary muscle movements,Controlling balance and coordination,Regulating breathing and heart rate,Processing sensory information,Controlling voluntary muscle movements,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,How do neurons transmit signals within the nervous system?,By producing electrical impulses,By releasing hormones,By producing electrical impulses,By secreting enzymes,By contracting and relaxing,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,What is the importance of reflex actions in the human body?,They protect the body from harm,They help in learning new skills,They protect the body from harm,They control emotions and behavior,They regulate body temperature,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,"Which nutrient gives more energy to the body, carbohydrates, or fats?",Fats,Carbohydrates,Fats,Both give the same amount of energy,None of the above,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,What is the function of vitamins and minerals in the body?,They help in growth and repair of tissues,They provide energy,They help in growth and repair of tissues,They regulate body temperature,They aid in digestion,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,What is the role of roughage in the diet?,It helps in digestion,It provides energy,It helps in digestion,It regulates body temperature,It builds muscles,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health Test Paper Generator Multiple Choice Question (QPG) Test Paper 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,Multiple Choice Question (QPG) Test Paper,Which statement about communicable diseases is true?,They are caused by bad microbes,They cannot spread from one person to another,They are caused by lack of nutrients,They are caused by bad microbes,They can only be cured with antibiotics,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health  Test Paper Generator Multiple Choice Question (QPG) Test Paper 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 6- Food and Health,,,True or False (QPG),Roughage helps the body get rid of undigested food. ,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 6 Food and Health  Test Paper Generator True or False (QPG) 1,1
