Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 1,About Myself,1,1
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 2,My Family,1,2
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 3,Food,1,3
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 4,Clothes,1,4
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 5,A Good House,1,5
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 6,Rooms in a House,1,6
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 7,Services in My Neighbourhood,1,7
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 8,Going to School,1,8
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 9,Places of Worship,1,9
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 10,Our Festivals,1,10
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 11,Seasons,1,11
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 12,Means of Transport,1,12
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 13,Means of Communication,1,13
CBSE,Class 2,Social Studies,Illustrative Social Studies,Chapter 14,Finding Our Way,1,14
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
