Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Position,Status
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,Chapter 1 Swamp Adventure,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,Chapter 2 The Proud Moment,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,"Chapter 3 A House, a Home",3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,Chapter 4 Dream the Impossible,4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,Chapter 5 Grandma’s First E-mail,5,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,Chapter 6 A Letter to Grown-ups,6,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : English,Chapter 7 Dreams Come True,7,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 1 Multiples and Factors,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 2 Geometrical Shapes,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Mathematics,"Chapter 3 Measurement of Length, Mass and Capacity",3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 4 Time,4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 5 Data Handling,5,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 6 Patterns,6,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,Chapter 1 Safety First,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,Chapter 2 Clothes,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,"Chapter 3 Solids, Liquids and Gases",3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,"Chapter 4 Force, Work and Energy",4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,"Chapter 5 Air, Water and Weather",5,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,Chapter 6 The Solar System,6,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Science,Chapter 7 Green and Clean Earth,7,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,Chapter 1 Agriculture in India,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,Chapter 2 Industrial Development of India,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,Chapter 3 Means of Transport,3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,Chapter 4 Means of Communication,4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,"Chapter 5 Art, Architecture and Culture",5,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,Chapter 6 They Showed Us the Way,6,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,Chapter 7Our Government,7,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 2 : Social Studies,"Chapter 8 Our Goals, Rights and Duties",8,1
