Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Position,Status
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 1 The Story Of Village Palampur ,Topic 1 Organisation of Production,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 1 The Story Of Village Palampur ,Topic 2 Farming in Palampur,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 1 The Story Of Village Palampur ,Topic 3 Non Farm Activities in Palampur,3,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 2 People As Resource ,Topic 1 People as resource,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 2 People As Resource ,Topic 2 Economic Activites by Men and Women,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 2 People As Resource ,Topic 3 Quality of Population,3,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 2 People As Resource ,Topic 4 Unemployement,4,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 3 Poverty As A Challenge ,Topic 1 Introduction,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 3 Poverty As A Challenge ,Topic 2 Analysis of Poverty,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 3 Poverty As A Challenge ,Topic 3 Poverty Estimates,3,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 3 Poverty As A Challenge ,Topic 4 Causes of Poverty,4,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 3 Poverty As A Challenge ,Topic 5 Anti poverty measures,5,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 4 Food Security In India,Topic 1 : What is food Security,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 4 Food Security In India,Topic 2 : Who are food Insecure,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Economics : Chapter 4 Food Security In India,Topic 3 : Food Security in India,3,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 1 India – Size And Location ,Topic 1 : India Size and Location,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 2 Physical Features Of India ,Topic 1 : Major Physiographic Divisions,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 2 Physical Features Of India ,Topic 2 : Physical Features of India,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 3 Drainage ,Topic 1 : Drainage System of India,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 3 Drainage ,Topic 2 : River Basins,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 4 Climate ,Topic 1: Climate of India,1,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 4 Climate ,Topic 2 : Indian Monsoon,2,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 4 Climate ,Topic 3 : Annual Distribution of Rainfall,3,1
CBSE,Class 9,Social Science,CBSE Social Science Video Lesson Series (Course),Geography : Chapter 5 Natural Vegetation And Wildlife ,Topic 1: Distribution of Flora And Fauna,1,1
