Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,What did people in the past believe about the shape of the Earth?,It is flat,It is round like a ball,It is flat,It is square,It is triangular,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 1,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,Who started a long journey in 1519 to prove that the Earth is round?,Ferdinand Magellan,Christopher Columbus,Ferdinand Magellan,Vasco da Gama,Marco Polo,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 2,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,What percentage of the Earth's surface is covered by water?,0.71,0.29,0.5,0.71,0.9,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 3,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,What makes the sky look blue?,Dust particles and water in the atmosphere,Dust particles and water in the atmosphere,Presence of clouds,Reflection of city lights,The colour of the sun,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 4,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,What is the meeting point of the sky and the Earth when observed from a distance?,Horizon,Coast,Valley,Horizon,Plateau,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 5,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,In what way is the Earth slightly flattened?,At the top and the bottom,At the sides,At the top and the bottom,In the middle,In a spiral shape,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 6,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,Where did the ships return after completing the journey around the Earth?,Spain,Spain,Portugal,England,Italy,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 7,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,Who is a sailor?,a person who sails on a ship,a person who operates heavy machinery on land,a person who studies ancient civilizations,a person who designs spacecraft,a person who sails on a ship,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 8,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,"Assertion: The sky and the Earth seem to meet at the horizon.
Reason: This meeting is an optical illusion, and in reality, the sky and Earth never physically meet.","Both Assertion and Reason are true, and Reason is the correct explanation for the Assertion. The sky and the Earth seem to meet at the horizon due to the way our eyes perceive the space around us. This meeting is indeed an optical illusion, and in reality, the sky and Earth never physically meet. The curvature of the Earth and the way light travels contribute to this visual effect.","Both Assertion and Reason are true, and Reason is the correct explanation for the Assertion","Both Assertion and Reason are true, and Reason is the correct explanation for the Assertion","Assertion is true, but Reason is false",Both Assertion and Reason are false,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 9,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,Multiple Choice Question (QPG) Test Paper,"Assertion: The atmosphere surrounding the Earth is essential for the survival of all living beings.
Reason: The atmosphere is composed of gases, providing air that is necessary for humans, animals, and plants to live.","Both Assertion and Reason are true, and Reason is the correct explanation for the Assertion. The atmosphere surrounding the Earth is indeed essential for the survival of all living beings. The atmosphere is composed of gases, including oxygen, which is vital for humans, animals, and plants to live.","Both Assertion and Reason are true, and Reason is the correct explanation for the Assertion","Both Assertion and Reason are true, but Reason is not the correct explanation for the Assertion","Assertion is true, but Reason is false",Both Assertion and Reason are false,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home Multiple Choice Question (QPG) Test Paper 10,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),People in the past believed the Earth was flat,N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 1,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),Coastal areas are areas found inland,N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 2,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),"The sky has colour, and it is red during the day",N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 3,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),Only human beings and animals need air to live,N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 4,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),Ferdinand Magellan's journey took five years to complete,N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 5,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),The Earth has edges,N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 6,1
CBSE,Class 3,Integrated Subjects,Rosemary,Semester 1 : Social Studies,Chapter 1 The Earth - Our Home,,True or False (QPG),Astronauts brought back pictures of the Earth from space,N\A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Rosemary Class 3 Semester 1 : Social Studies Chapter 1 The Earth - Our Home True or False (QPG) 7,1
