Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,What is the primary purpose of seed dispersal?,Not Available,Soil enrichment,Preventing germination,Scattering seeds for growth,Enhancing plant photosynthesis,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 1 ,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,Which plant part is responsible for providing food supply to the developing embryo in a seed?,Not Available,Cotyledons,Seed coat,Endosperm,Embryo,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,What is the primary factor required for seed germination?,Not Available,Soil acidity,Air pollution,"Sufficient water, light, warmth, and air",Presence of fertilizers,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,"In agriculture, what are crops like rice and maize that are grown in the summer season called?",Not Available,Perennials,Biennials,Rabi crops,Kharif crops,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,What is the fastest-growing woody plant in the world?,Not Available,Oak tree,Pine tree,Bamboo,Maple tree,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,Which part of the seed protects the embryo?,Not Available,Cotyledon,Seed coat,Endosperm,Embryo,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,What is the practice of growing crops year after year in the same land called?,Not Available,Monocropping,Mixed cropping,Intercropping,Crop rotation,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,The process of scattering seeds from the parent plant is called:,Not Available,Germination,Dispersal,Photosynthesis,Respiration,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,The fastest growing woody plant in the world is:,Not Available,Oak,Bamboo,Pine,Maple,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 7- Housing and Clothing,,,Multiple Choice Question (QPG) Test Paper,Which agent of seed dispersal uses wind to carry seeds?,Not Available,Water,Animals,Explosion,Wind,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 7- Housing and Clothing Test Paper Generator MCQ 10,1
